"Freq [GHz]","dB(S(Port,Port)) []"
2.13,-0.0973934912603543
2.13125,-0.0966096418735799
2.1325,-0.0958377251220276
2.13375,-0.0950775077634047
2.135,-0.0943287623002908
2.13625,-0.0935912668118644
2.1375,-0.0928648047912654
2.13875,-0.0921491649885378
2.14,-0.09144414125885
2.14125,-0.0907495324158183
2.1425,-0.0900651420896887
2.14375,-0.0893907785902903
2.145,-0.0887262547744851
2.14625,-0.0880713879180159
2.1475,-0.0874259995915114
2.14875,-0.0867899155405896
2.15,-0.0861629655698194
2.15125,-0.0855449834304657
2.1525,-0.084935806711814
2.15375,-0.0843352767360223
2.155,-0.0837432384562692
2.15625,-0.083159540358228
2.1575,-0.0825840343645211
2.15875,-0.0820165757423635
2.16,-0.0814570230139216
2.16125,-0.0809052378695826
2.1625,-0.0803610850839079
2.16375,-0.0798244324341267
2.165,-0.0792951506212235
2.16625,-0.0787731131933689
2.1675,-0.0782581964717498
2.16875,-0.077750279478634
2.17,-0.0772492438675899
2.17125,-0.0767549738558587
2.1725,-0.0762673561587181
2.17375,-0.0757862799258182
2.175,-0.0753116366794348
2.17625,-0.0748433202545302
2.1775,-0.074381226740592
2.17875,-0.0739252544251766
2.18,-0.0734753037391401
2.18125,-0.0730312772034236
2.1825,-0.0725930793773909
2.18375,-0.0721606168087019
2.185,-0.071733797984587
2.18625,-0.0713125332845406
2.1875,-0.0708967349343704
2.18875,-0.0704863169615394
2.19,-0.0700811951517957
2.19125,-0.0696812870070085
2.1925,-0.0692865117042173
2.19375,-0.0688967900557908
2.195,-0.068512044470737
2.19625,-0.0681321989170776
2.1975,-0.0677571788852642
2.19875,-0.0673869113525713
2.2,-0.0670213247485556
2.20125,-0.0666603489213703
2.2025,-0.0663039151050347
2.20375,-0.0659519558876292
2.205,-0.0656044051802906
2.20625,-0.0652611981870937
2.2075,-0.0649222713756855
2.20875,-0.0645875624488247
2.21,-0.0642570103165075
2.21125,-0.0639305550689959
2.2125,-0.0636081379504655
2.21375,-0.063289701333402
2.215,-0.062975188693619
2.21625,-0.0626645445859929
2.2175,-0.0623577146207839
2.21875,-0.0620546454405874
2.22,-0.0617552846979041
2.22125,-0.0614595810332593
2.2225,-0.0611674840539162
2.22375,-0.0608789443130956
2.225,-0.060593913289798
2.22625,-0.06031234336903
2.2275,-0.0600341878226787
2.22875,-0.0597594007907207
2.23,-0.0594879372630298
2.23125,-0.0592197530615514
2.2325,-0.0589548048230006
2.23375,-0.0586930499819212
2.235,-0.0584344467542209
2.23625,-0.0581789541211057
2.2375,-0.0579265318133674
2.23875,-0.0576771402961389
2.24,-0.0574307407539632
2.24125,-0.0571872950762299
2.2425,-0.0569467658430127
2.24375,-0.0567091163112049
2.245,-0.056474310401034
2.24625,-0.0562423126828536
2.2475,-0.056013088364291
2.24875,-0.0557866032777148
2.25,-0.0555628238679676
